time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.79211690004326e-06,1.0879178169851091e-05,10.008082359589308,0.0025436076220497483,0.0014069495854238667,0.0,-0.0004566594748214911,0.0006651862543329041,0.2693865266932911,0.016312116708475165,-0.014248856914627434,0.0,487.4869702458238,486.4213477547725,487.82657617915885,489.0428106911014
0.12000000000000001,-7.662349181301455e-05,0.00012012420478452497,10.02909891807088,0.005193513617593126,0.0034305768630487066,0.0,-0.0020846389326602127,0.0032878402929048542,0.43111605768980854,0.0009000930706190308,-0.0340733021770028,0.0,456.4760052497495,454.8915208137031,457.261817069355,456.032496168741
0.18,-0.0002935196215980348,0.00043424396253298,10.059055260989672,0.005991339912093885,0.008139910070008582,0.0,-0.005621432610000971,0.007279665966451852,0.5673674667220573,-0.009823420839730401,-0.006779757661440962,0.0,447.09046598702,449.30820688113005,449.1887701509706,448.3184909979523
0.23999999999999996,-0.0008246627934778376,0.0010093512463119267,10.097870923284853,0.006716683014601266,0.011156462230813347,0.0,-0.012395479088095936,0.01198565054222866,0.7263964078278625,-0.023641287797998966,0.012323998383171938,0.0,454.2734472464165,455.80252290206823,456.74335352197863,455.64026452654394
0.3,-0.0018731567847629438,0.0018990576361410984,10.14769356175141,0.008648914826223653,0.020264096052479807,0.0,-0.02359094513854887,0.017923194873357657,0.9341946783780016,-0.04492937226751938,0.042835481625924904,0.0,469.31407504876466,471.6760837654515,471.2391058573262,469.59058747870637
0.36000000000000004,-0.00380037998395335,0.003239206343396873,10.210322715453122,0.020248020729932037,0.02459103803046414,0.0,-0.04118227068160302,0.028185466371651917,1.1532182015758874,-0.08756430120925376,0.02706621354005853,0.0,474.7477785650245,473.5370237143502,475.75795445799315,472.4803571993367
0.4200000000000001,-0.0067947213879383656,0.005335644120177151,10.282824277288247,0.015374447060676033,0.02644413607916718,0.0,-0.05882494443774692,0.04118310032429346,1.2633887497218368,-0.08190368683665694,0.020486957612914948,0.0,442.11819044078015,441.575947353289,441.0500419291209,441.51115767287536
0.48000000000000015,-0.010892124859079444,0.008159471368778412,10.362118678880156,0.02181779285953933,0.028415611329565493,0.0,-0.07796875985834947,0.05365559540377226,1.3796050700728433,-0.1200413823545554,0.009773181233370535,0.0,443.583552317559,442.70288924094825,445.8756366233999,442.7415025764353
0.5400000000000001,-0.016174827537903322,0.01185724993393248,10.448358152645703,0.026890660161120294,0.029555195450858385,0.0,-0.09822894183543442,0.07009135811176559,1.4948840161154706,-0.08284307919537937,0.01680865406943941,0.0,443.5739262319838,444.1511386011191,442.14327275482987,445.1868021822596
0.6000000000000002,-0.022782575645093093,0.01669560670935293,10.544308375637854,0.024836962516104677,0.031164681879933376,0.0,-0.12220236797738014,0.09091623601946514,1.703169535082644,-0.06529608429105943,0.024185085432352323,0.0,471.81774742224223,472.38678806543936,471.92755543284466,473.27556870865016
0.6600000000000003,-0.030815834352279234,0.022694522069189912,10.650448445299741,0.027063524809585182,0.038325814779910594,0.0,-0.14630381827355712,0.10925155200702476,1.8345979309612646,-0.03931627413082853,0.04918881525638059,0.0,449.7537085500432,451.77457092345384,447.758384039814,449.86460746736196
0.7200000000000003,-0.04059274157815711,0.029939576920124864,10.768525948984898,0.026323155182169877,0.041270912852047204,0.0,-0.1799514638524217,0.13212733535314075,2.100852894567734,-0.02652812015476168,0.04715611917592739,0.0,490.5844054913592,490.4346663141463,489.4695845515757,490.4198831688953
0.7800000000000004,-0.05235455422505759,0.03849769794085012,10.899013201669092,0.03893929197362489,0.05331851730052595,0.0,-0.21344810823116114,0.15446511659492837,2.248333634639454,0.013580201222539322,0.012674881445975027,0.0,456.7627565797409,454.0053156097178,455.5879486769584,458.7834580264085
0.8400000000000004,-0.06604649900603274,0.0484081291859844,11.032622708917733,0.040441702093602316,0.05647175227161316,0.0,-0.24322510766760067,0.1760143618670067,2.2053752260769777,0.0032176771861663657,-0.005512416154909804,0.0,395.57420635499034,393.89582055750924,395.0499098799115,394.0931644109104
0.9000000000000005,-0.0816225442174964,0.05968666992659454,11.164543462608941,0.047034563403440366,0.05794468243125017,0.0,-0.27611823720500434,0.20047628423925268,2.191971029394212,0.029756011780860073,-0.021473217894949815,0.0,404.94223449382866,403.5040484114264,404.2682911796402,406.65239636467766
0.9600000000000005,-0.099366142174189,0.07267977663017974,11.29871263840334,0.049561991024127394,0.05681583424285641,0.0,-0.31521942373457384,0.23286309171025338,2.280149225373329,0.038068392814495304,-0.027210448224934694,0.0,438.0266253084322,437.5492046469509,438.8446249034668,439.5344531261218
1.0200000000000005,-0.11941036384743088,0.08766754807737788,11.43775103404048,0.05729210949034247,0.05614534156489537,0.0,-0.3528396117336835,0.26750591728648615,2.354266910506611,0.01127603055605681,-0.017598685387394446,0.0,434.2842947686751,435.0896424289456,435.27597394400203,433.02841075218726
1.0800000000000005,-0.1418989241630154,0.1050532209899967,11.584593329360812,0.05797211556582127,0.05759341530586237,0.0,-0.3969463574470348,0.31206841265872554,2.540053436498374,0.011437393150320475,-0.03617461188548095,0.0,469.6736755709879,468.23074809459297,469.7466184722065,469.7589991327513
1.1400000000000006,-0.16685987032061986,0.12493673512823723,11.739234987129631,0.05938551655667901,0.0554700102878094,0.0,-0.4348740108779785,0.3508528061611664,2.614493564234405,0.0008194034051349167,-0.040037336331020024,0.0,436.14005071299107,435.81662412895076,436.162036434957,435.27426169870654
