episode,time,reward,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1,0.06,-26.8122406212,-1.65183580605e-06,-2.90569737637e-07,0.0604862086129,6.28305035781,0.000383212210504,0.0,-0.0001379397896,-3.40248192927e-05,2.01497580076,-0.00717741953887,0.0168076768331,0.0,849.489602685,850.20980373,850.132571626,849.825076639
1,0.12000000000000001,-25.9767795985,-5.63483250022e-05,-1.93081624937e-05,0.241367540291,6.28244494737,0.00187866186437,0.0,-0.00217425233182,-0.000793808465068,4.00968808314,-0.0166664530477,0.0375656292303,0.0,849.457770052,850.347155921,850.081448609,849.674953087
1,0.18,-24.4664503894,-0.000362283252109,-0.000137937229453,0.540752690708,6.28118375784,0.00416726230539,0.0,-0.00885740610782,-0.00357012935169,5.9618156341,-0.0315795841071,0.0392742331703,0.0,850.049804407,850.122959339,850.159366521,849.520389419
1,0.23999999999999996,-22.3544210688,-0.00123695126703,-0.000527727542128,0.955450397533,6.27896161017,0.00645102923192,0.0,-0.0210960316471,-0.0101373032348,7.85049077749,-0.0511315343914,0.0355230698818,0.0,850.284442624,850.123658577,850.363623968,849.525681032
1,0.3,-19.742747799,-0.00299692533379,-0.00148129086086,1.48108050953,6.27542964938,0.00848666671535,0.0,-0.038213933386,-0.022718886511,9.65706708586,-0.0825559687075,0.0305283080574,0.0,850.512689352,850.298584344,850.564535063,849.21675347
1,0.36000000000000004,-16.7566479452,-0.00590225646864,-0.00344459282284,2.11229133415,6.2699364697,0.0101888895242,0.0,-0.0590940576808,-0.0443117200449,11.3678640015,-0.123494290032,0.0236620562944,0.0,850.978808591,850.684592283,850.961511729,849.203860452
1,0.4200000000000001,-13.538239937,-0.0101401061599,-0.0070688001832,2.84293234006,6.26195553115,0.0116185108855,0.0,-0.0824510497649,-0.0786730692321,12.9699876952,-0.170215146659,0.0241549169251,0.0,851.101416138,851.122281368,850.972206235,848.961540676
1,0.48000000000000015,-10.2402523996,-0.0158337860429,-0.0132357126287,3.66628810573,6.25115686252,0.0129391383633,0.0,-0.107552498671,-0.129574420032,14.4574649266,-0.239917561359,0.0173339643486,0.0,851.83448412,851.542434609,851.639216346,848.63465409
1,0.5400000000000001,-7.01918128129,-0.0230648718507,-0.0230561085303,4.57529309512,6.23635853134,0.0138058604293,0.0,-0.133524226178,-0.201156160708,15.8245945539,-0.334520772053,0.00793114673485,0.0,852.393080568,851.99081531,851.950574696,847.858305869
1,0.6000000000000002,-4.02941001568,-0.0318497400342,-0.037920904541,5.56270243435,6.21671635672,0.0141365287181,0.0,-0.159167834978,-0.298423922395,17.0710205525,-0.473325570076,0.000168314909361,0.0,852.93363595,852.601810931,852.803620832,846.776389558
1,0.6600000000000003,-1.41747456491,-0.042137531274,-0.0595551754034,6.62134140864,6.18964580953,0.0140102167966,0.0,-0.183502567607,-0.428045540405,18.1993560783,-0.641190223642,-0.00709225214653,0.0,853.578967134,853.268985086,853.538113462,846.190647302
1,0.7200000000000003,0.682402344667,-0.0538284585515,-0.0901672652535,7.74424341909,6.15362723986,0.0135399827492,0.0,-0.205865660619,-0.599096394746,19.2138849953,-0.836882338281,-0.00937061136069,0.0,854.335948313,854.238905172,854.126140439,845.462508667
1,0.7800000000000004,2.15221980034,-0.0667964614127,-0.13255038606,8.92478167819,6.10729910446,0.0130870199356,0.0,-0.226094927533,-0.822022730929,20.1215900174,-1.06135173076,-0.00413497966829,0.0,855.258798082,855.482013142,854.842622843,844.758239704
1,0.8400000000000004,2.87682667707,-0.0809252575717,-0.190159143097,10.1567405262,6.0500929009,0.0131023325977,0.0,-0.244683107238,-1.10834779571,20.929159878,-1.32789634742,0.00784154671663,0.0,855.916205931,856.426018538,855.831748505,843.664172389
1,0.9000000000000005,2.42196803619,-0.0961465108986,-0.267224101262,11.4343929288,5.97895206796,0.013672923319,0.0,-0.262673798007,-1.47333015091,21.646058998,-1.62260061257,0.0126537663887,0.0,856.912724959,857.117200685,856.739470103,842.963021331
1,0.9600000000000005,0.684106937582,-0.112451613575,-0.369095097504,12.7525524408,5.89250971229,0.0145165450465,0.0,-0.280909628079,-1.93890505716,22.2805931092,-1.94616003514,0.0167349090845,0.0,857.945174338,858.11830969,857.414078506,841.850525217
1,1.0200000000000005,-2.42441347633,-0.129875987096,-0.502646116953,14.1064471719,5.78933710676,0.0157874581867,0.0,-0.300114460332,-2.53430610718,22.8377444116,-2.29885950167,0.0288522488899,0.0,858.318830431,858.832971519,858.295118815,840.759605372
1,1.0800000000000005,-7.0968980778,-0.148513789534,-0.676832988883,15.4914627035,5.66671005915,0.0177431070225,0.0,-0.321597459506,-3.30034464829,23.3167572363,-2.66873869916,0.039187168451,0.0,859.068350362,859.506536556,859.240434266,840.054487433
1,1.1400000000000006,-13.5597335115,-0.168552986877,-0.903392684002,16.9024556335,5.5242981312,0.0200899588272,0.0,-0.34708696253,-4.28779232294,23.6993029833,-3.0613011528,0.0389678742646,0.0,860.20339181,860.194047916,860.211594929,838.926357075
1,1.2000000000000006,-22.0829477093,-0.190283647345,-1.19722982274,18.3324292282,5.36024246706,0.0224238502366,0.0,-0.378202447706,-5.55058059699,23.9402250658,-3.47084891185,0.038758475424,0.0,861.00997354,861.00105252,861.485096072,838.114241369
1,1.2600000000000007,-32.9814665986,-0.214092259132,-1.57624909295,19.7705276931,5.17203019765,0.0248662917723,0.0,-0.416643434263,-7.13213972308,23.9545282485,-3.88409998752,0.0443445054359,0.0,861.497886411,861.734131026,862.358974844,837.233515282
1,1.3200000000000007,-46.594576977,-0.2404852607,-2.0600697167,21.1995241462,4.95930308168,0.0275408618131,0.0,-0.464715939057,-9.04061038126,23.6154662665,-4.29986564822,0.0450354233002,0.0,862.387927266,862.417197878,863.156708228,836.114233692
1,1.3800000000000008,-63.2279004756,-0.270108901349,-2.66675789736,22.5936903132,4.7229811569,0.0303829581127,0.0,-0.524598608162,-11.2108117357,22.7711975012,-4.72701270189,0.051666625685,0.0,863.175067302,863.455094351,864.524347432,834.968519671
1,1.4400000000000008,-83.0471982223,-0.303727626468,-3.40749925239,23.9184451666,4.460210222,0.0337779283271,0.0,-0.598175673412,-13.4772389709,21.2851076529,-5.14750369168,0.0649437936301,0.0,863.937621841,864.497810917,865.55935738,834.032272486
1,1.5000000000000009,-105.937639049,-0.342216388949,-4.2805708247,25.1330053277,4.17236456405,0.0376923011752,0.0,-0.687077012195,-15.5778106872,19.0993538038,-5.56940823913,0.0658243771664,0.0,864.826704216,864.864666601,866.831050456,832.802895138
1,1.560000000000001,-131.383130971,-0.386484613192,-5.26679126699,26.1973228926,3.85613671344,0.0413902377064,0.0,-0.790416235132,-17.2038198802,16.3020300366,-5.96498891451,0.0515539600607,0.0,865.498580316,864.89851744,867.645227701,832.138441152
1,1.620000000000001,-158.447368493,-0.437268483084,-6.32949857696,27.081582477,3.51227616881,0.0441115989062,0.0,-0.903209076343,-18.0985889125,13.1464136622,-6.32363768729,0.0285601955098,0.0,866.299890559,865.333781227,868.656060398,832.065594951
1,1.680000000000001,-185.925661168,-0.494894032224,-7.42104581343,27.7751171108,3.14417485659,0.0454157308747,0.0,-1.01718733001,-18.167295568,10.0003375828,-6.65346597905,0.00237575152003,0.0,866.393119839,865.29197396,869.33874299,831.469399079
1,1.740000000000001,-212.639462591,-0.559192447229,-8.49425023397,28.2888239943,2.75430080689,0.0451702027584,0.0,-1.12472813226,-17.5130813824,7.19052356712,-6.96021636574,-0.021963816526,0.0,866.382154623,865.358351582,870.234136078,830.927588703
1,1.8000000000000012,-237.691747205,-0.62964622255,-9.51128254474,28.6488960516,2.34262498858,0.0436640478682,0.0,-1.2222689439,-16.3196127582,4.89392489157,-7.22117983622,-0.0322623961577,0.0,865.872817346,865.439167712,870.393404371,830.746441356
1,1.8600000000000012,-260.524188451,-0.705708037398,-10.4436191639,28.8884434603,1.91289722073,0.0419170791111,0.0,-1.3125367607,-14.6973252433,3.18421302874,-7.44211230733,-0.0234694743661,0.0,865.067435982,865.437057267,870.551051937,830.58810207
1,1.9200000000000013,-280.858421989,-0.787162100613,-11.2667252206,29.0463894128,1.4686522095,0.0417338267861,0.0,-1.40348959436,-12.6884683142,2.20762746348,-7.63720274635,0.0211688598079,0.0,863.595714806,865.476064035,870.760058295,830.099503652
1,1.9800000000000013,-298.802138118,-0.874373555907,-11.9621097109,29.1745985126,1.01162016473,0.0448756305075,0.0,-1.50613254536,-10.4946779211,2.23308161374,-7.80518523375,0.0829399236025,0.0,862.82722924,865.431797449,871.066298071,829.953655993
1,2.0400000000000014,-315.183716468,-0.968361024223,-12.5334294646,29.3382056451,0.543381615859,0.0525856867737,0.0,-1.63067847276,-8.65154955497,3.37281171603,-7.93391587024,0.164345599778,0.0,862.208101508,865.646967272,870.843214778,830.034576971
1,2.1000000000000014,-331.669922993,-1.07066303972,-13.0208467341,29.5950873901,0.0671314491333,0.066475821702,0.0,-1.7840326353,-7.76899458804,5.2477307893,-8.04707004584,0.270976871944,0.0,861.612086639,866.127355316,870.876612432,829.723204051
1,2.1600000000000015,-350.234984457,-1.18313241792,-13.4907990002,29.9680018315,5.86712624561,0.0885419565343,0.0,-1.97014825296,-8.06110391058,7.13086484363,-8.15167386716,0.406976021594,0.0,861.013215673,866.797687029,871.460824285,829.74216255
1,2.2200000000000015,-372.367108839,-1.3079064893,-14.0082386952,30.4382916015,5.37750394455,0.120267320935,0.0,-2.19597469496,-9.30202744318,8.43153131017,-8.2431715709,0.564669924163,0.0,860.376241208,867.137288138,871.761828736,829.674643888
1,2.2800000000000016,-398.750139761,-1.44796112523,-14.620247656,30.9611426704,4.88238222743,0.163631817409,0.0,-2.48490293594,-11.1691954398,8.84965005242,-8.33371932802,0.750483891571,0.0,859.902165658,867.947199631,872.350421404,829.45322374
1,2.3400000000000016,-429.369766477,-1.60847265953,-15.3548935111,31.4768507895,4.3818730736,0.220685955413,0.0,-2.88719928328,-13.3294892216,8.16102988723,-8.42885157324,0.965485845589,0.0,859.428450708,868.857695485,873.037724617,829.077200021
1,2.4000000000000017,-463.443071005,-1.79824780401,-16.2146234643,31.9144159698,3.87564453206,0.292737342519,0.0,-3.47045136501,-15.239741791,6.2516770458,-8.52297763466,1.20239879525,0.0,859.113576688,869.691861263,873.701775471,828.890212567
1,2.4600000000000017,-499.252438816,-2.03001231854,-17.1642560642,32.2075312222,3.3639142667,0.382084684716,0.0,-4.29431555804,-16.2408371489,3.43165857616,-8.62895280361,1.46885338843,0.0,858.422084639,870.562589253,874.418255405,828.148473875
